Comment[cptac accession number]	Comment[data file]	Comment[Associated file URI]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
S049	20180320_fusion_zhw_TMT10_liver01_pho_F23.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F23.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F24.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F24.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F25.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F25.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F26.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F26.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F27.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F27.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F28.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F28.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F29.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F29.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F30.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F30.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F31.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F31.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F32.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F32.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F33.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F33.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F34.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F34.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F35.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F35.raw										
S049	20180320_fusion_zhw_TMT10_liver01_pho_F36.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver01_Phosphoproteome/liver01_Phosphoproteome_raw/20180320_fusion_zhw_TMT10_liver01_pho_F36.raw										
