Sample Name 	Characteristics[organism]	Characteristics[disease]	Characteristics[organism part]	Comment[cptac accession number]	Comment[data file]	Comment[Associated file URI]	Comment[fraction identifier]	Comment[instrument]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[cleavage agent details]	Material Type	Description	Comment[Label]	Comment[fragment mass tolerance]	Comment[precursor mass tolerance]
Sample 316	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F16.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F16.raw	16										
Sample 317	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F17.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F17.raw	17										
Sample 318	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F18.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F18.raw	18										
Sample 319	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F19.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F19.raw	19										
Sample 320	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F20.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F20.raw	20										
Sample 321	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F21.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F21.raw	21										
Sample 322	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F22.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F22.raw	22										
Sample 323	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F23.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F23.raw	23										
Sample 324	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180403_fusion_zhw_TMT11_liver05_pho_F24.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Phosphoproteome/liver05_Phosphoproteome_raw/20180403_fusion_zhw_TMT11_liver05_pho_F24.raw	24										
Sample 325	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F01.raw	1										
Sample 326	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F02.raw	2										
Sample 327	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F03.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F03.raw	3										
Sample 328	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F04.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F04.raw	4										
Sample 329	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F05.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F05.raw	5										
Sample 330	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F06.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F06.raw	6										
Sample 331	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F07.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F07.raw	7										
Sample 332	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F08.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F08.raw	8										
Sample 333	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F09.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F09.raw	9										
Sample 334	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F10.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F10.raw	10										
Sample 335	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F11.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F11.raw	11										
Sample 336	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F12.raw	12										
Sample 337	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F13.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F13.raw	13										
Sample 338	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F14.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F14.raw	14										
Sample 339	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F15.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F15.raw	15										
Sample 340	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F16.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F16.raw	16										
Sample 341	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F17.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F17.raw	17										
Sample 342	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F18.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F18.raw	18										
Sample 343	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F19.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F19.raw	19										
Sample 344	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F20.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F20.raw	20										
Sample 345	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F21.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F21.raw	21										
Sample 346	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F22.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F22.raw	22										
Sample 347	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F23.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F23.raw	23										
Sample 348	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F24.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F24.raw	24										
Sample 349	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F25.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F25.raw	25										
Sample 350	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F26.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F26.raw	26										
Sample 351	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F27.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F27.raw	27										
Sample 352	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F28.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F28.raw	28										
Sample 353	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F29.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F29.raw	29										
Sample 354	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F30.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F30.raw	30										
Sample 355	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F31.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F31.raw	31										
Sample 356	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F32.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F32.raw	32										
Sample 357	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F33.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F33.raw	33										
Sample 358	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F34.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F34.raw	34										
Sample 359	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F35.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F35.raw	35										
Sample 360	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F36.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F36.raw	36										
Sample 361	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F37.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F37.raw	37										
Sample 362	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F38.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F38.raw	38										
Sample 363	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F39.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F39.raw	39										
Sample 364	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F40.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F40.raw	40										
Sample 365	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F41.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F41.raw	41										
Sample 366	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F42.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F42.raw	42										
Sample 367	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F43.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F43.raw	43										
Sample 368	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F44.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F44.raw	44										
Sample 369	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F45.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F45.raw	45										
Sample 370	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F46.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F46.raw	46										
Sample 371	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F47.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F47.raw	47										
Sample 372	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171024_HF_ZHW_total_liver05_F48.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver05_Proteome/liver05_Proteome_raw/20171024_HF_ZHW_total_liver05_F48.raw	48										
Sample 373	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F01.raw	1										
Sample 374	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F02.raw	2										
Sample 375	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F03.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F03.raw	3										
Sample 376	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F04.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F04.raw	4										
Sample 377	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F05.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F05.raw	5										
Sample 378	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F06.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F06.raw	6										
Sample 379	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F07.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F07.raw	7										
Sample 380	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F08.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F08.raw	8										
Sample 381	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F09.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F09.raw	9										
Sample 382	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F10.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F10.raw	10										
Sample 383	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F11.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F11.raw	11										
Sample 384	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F12.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F12.raw	12										
Sample 385	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F13.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F13.raw	13										
Sample 386	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F14.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F14.raw	14										
Sample 387	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F15.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F15.raw	15										
Sample 388	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F16.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F16.raw	16										
Sample 389	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F17.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F17.raw	17										
Sample 390	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F18.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F18.raw	18										
Sample 391	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F19.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F19.raw	19										
Sample 392	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F20.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F20.raw	20										
Sample 393	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F21.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F21.raw	21										
Sample 394	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F22.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F22.raw	22										
Sample 395	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F23.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F23.raw	23										
Sample 396	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20180405_fusion_zhw_TMT11_liver06_pho_F24.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Phosphoproteome/liver06_Phosphoproteome_raw/20180405_fusion_zhw_TMT11_liver06_pho_F24.raw	24										
Sample 397	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171030_HF_ZHW_total_liver06_F01.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Proteome/liver06_Proteome_raw/20171030_HF_ZHW_total_liver06_F01.raw	1										
Sample 398	Homo sapiens	hepatitis virus-related hepatocellular carcinoma	liver	S049	20171030_HF_ZHW_total_liver06_F02.raw	https://cptc-xfer.uis.georgetown.edu/publicData/External/S049_Liver_Cancer_Gao2019/liver06_Proteome/liver06_Proteome_raw/20171030_HF_ZHW_total_liver06_F02.raw	2										
